Tempo,Temp_Quente_Entrada_C,Temp_Quente_Saida_C,Vazao_Quente_kg_s,Temp_Fria_Entrada_C,Temp_Fria_Saida_C,Vazao_Fria_kg_s,Carga_Termica_kW
00:00,85.1,57.2,1.52,20.0,40.6,2.06,177.3
00:10,85.3,57.1,1.52,20.3,41.9,1.98,179.2
00:20,85.6,58.3,1.51,19.9,41.4,1.92,172.3
00:30,85.8,58.4,1.51,19.8,40.9,1.96,172.9
00:40,86.6,58.8,1.5,20.0,41.5,1.94,174.3
00:50,86.2,58.3,1.51,19.8,41.1,1.98,176.1
01:00,85.9,57.6,1.5,20.4,42.1,1.96,177.4
01:10,85.5,57.4,1.44,20.0,40.8,1.95,169.1
01:20,85.8,58.4,1.5,20.0,40.7,1.99,171.8
01:30,85.0,57.7,1.53,19.9,40.7,2.01,174.6
01:40,84.9,56.5,1.48,19.9,40.7,2.02,175.7
01:50,84.7,56.3,1.49,19.8,40.9,2.01,176.9
02:00,83.9,55.6,1.47,20.0,41.3,1.95,173.9
02:10,84.3,56.6,1.53,20.0,41.1,2.01,177.2
02:20,83.9,56.9,1.5,20.3,40.0,2.06,169.3
02:30,84.1,56.9,1.49,20.0,40.3,2.0,169.4
02:40,84.0,56.3,1.54,20.1,41.6,1.98,178.3
02:50,84.2,56.0,1.51,20.2,41.7,1.98,178.0
03:00,84.7,56.9,1.48,20.2,40.9,1.99,172.0
